iteration,matched,propagation_sec,polls,timeout_used,first_read_sec,first_read_rule,first_read_matched,first_read_stale
0,True,0.059,1,600,0.059,expire-8cd554c4-6935-4531-a8c6-fef30367695f,True,False
1,True,0.062,1,600,0.062,expire-2325f3bb-6627-455e-9a76-8f07e2424dfc,True,False
2,True,0.063,1,600,0.063,expire-d29e45d3-cf6c-4293-91ef-fd5565b30b12,True,False
3,True,0.047,1,600,0.047,expire-31964f17-cd84-43fe-a291-237955a47537,True,False
4,True,0.063,1,600,0.063,expire-df1f10c2-ef7e-49b2-a4e8-3b85f675f880,True,False
5,True,0.053,1,600,0.053,expire-03b9db65-8fbf-4235-857f-912322f37ffb,True,False
6,True,0.058,1,600,0.058,expire-c7f9c166-7871-45dd-9736-f207a3c9f278,True,False
7,True,0.043,1,600,0.043,expire-22b3e8c4-e50a-4b5a-94c1-1e365ff87e7e,True,False
8,True,0.057,1,600,0.057,expire-2fcbb684-064e-4263-b31f-01ee43d3a706,True,False
9,True,0.051,1,600,0.051,expire-39b0f516-a485-4e6d-bc59-cea3a8839902,True,False
10,True,0.046,1,600,0.046,expire-b7cbe31a-ac6a-475c-96f5-d9636d5c1f2a,True,False
11,True,0.056,1,600,0.056,expire-1b96463b-93d0-434a-893a-a5b76be353fa,True,False
12,True,0.046,1,600,0.046,expire-0559e114-93d8-47df-b965-947417cfe88f,True,False
13,True,0.048,1,600,0.048,expire-120e1cc5-6ed9-414c-a8a3-34fd1e8fa0dc,True,False
14,True,0.048,1,600,0.048,expire-14056450-5c72-4c22-8b85-af245d5335fc,True,False
15,True,0.047,1,600,0.047,expire-eff96c29-ccd1-4f78-97b7-535f91c7350b,True,False
16,True,0.13,1,600,0.13,expire-a4adf724-8091-4207-b9aa-88492e2f2b36,True,False
17,True,0.046,1,600,0.046,expire-2be55fa5-9335-4857-b4e0-766694ba0295,True,False
18,True,0.047,1,600,0.047,expire-96e29b50-c6fa-4af5-ae02-2991e4344cb5,True,False
19,True,0.044,1,600,0.044,expire-359b8095-4955-47b8-acdc-95da5b005da1,True,False
20,True,0.109,1,600,0.109,expire-0b4108f1-1c80-49c2-8be7-b3e33d2e43cf,True,False
21,True,0.051,1,600,0.051,expire-127b96a1-bc63-4eb1-81ff-b452d6802dee,True,False
22,True,0.053,1,600,0.053,expire-68cda39b-86dc-49b4-849c-fd597d0235d4,True,False
23,True,0.048,1,600,0.048,expire-f7baba7f-6b02-4e3d-8907-151e9460b86c,True,False
24,True,0.05,1,600,0.05,expire-d88b53d5-cb51-4f8e-adbb-1e64e0b21e6a,True,False
25,True,0.046,1,600,0.046,expire-b58e0a6e-b683-491a-92d1-5dd7542e40cc,True,False
26,True,0.047,1,600,0.047,expire-162051da-d1e1-4002-acdf-abc4467f4bf2,True,False
27,True,0.043,1,600,0.043,expire-520c08b2-13a8-412e-b31e-126fa5551018,True,False
28,True,0.047,1,600,0.047,expire-e2892f1a-80fe-4b2a-9878-abd68c977323,True,False
29,True,0.045,1,600,0.045,expire-37480598-ef90-4dd2-99f3-ccca1595eae3,True,False
30,True,0.044,1,600,0.044,expire-73eb8b7a-7373-476c-b394-1e6acc318b13,True,False
31,True,0.048,1,600,0.048,expire-f7a891eb-5e3a-431c-ae7f-49dbb6432f85,True,False
32,True,0.051,1,600,0.051,expire-c1bc04bf-7576-4e6e-b84e-e5b2221692bf,True,False
33,True,0.049,1,600,0.049,expire-1cb24d82-8ddf-4a96-8c5c-36c3f7223d35,True,False
34,True,0.049,1,600,0.049,expire-a591cb84-817d-444e-9b52-ce285bac8771,True,False
35,True,0.049,1,600,0.049,expire-340a1ef0-796e-42a4-a34a-c789bbde5a89,True,False
36,True,0.053,1,600,0.053,expire-e73c444c-572e-40ae-9b3f-86211cec1a95,True,False
37,True,0.046,1,600,0.046,expire-b802eafe-3404-4582-94de-8e2ff4892d79,True,False
38,True,0.053,1,600,0.053,expire-caefe296-6e1c-4b92-bc21-71795cd45fe5,True,False
39,True,0.05,1,600,0.05,expire-df313662-0cd2-42ab-8cc3-366e3d16f05f,True,False
40,True,0.05,1,600,0.05,expire-28131382-7dbe-46d7-8529-9d4523ae72db,True,False
41,True,0.051,1,600,0.051,expire-c9c2f2a9-a157-4d88-a16d-6faeb7657ebb,True,False
42,True,1.095,2,600,0.034,expire-c9c2f2a9-a157-4d88-a16d-6faeb7657ebb,False,True
43,True,0.051,1,600,0.051,expire-02e67784-8d11-4cbd-9e66-6d232266ed8e,True,False
44,True,0.055,1,600,0.055,expire-d126ff8a-5c3e-45e7-903b-826a8c047dbe,True,False
45,True,0.05,1,600,0.05,expire-a9115335-f071-4f4b-b874-8fb10da9f457,True,False
46,True,0.056,1,600,0.056,expire-a9a7b06d-d6ee-4513-9916-97c97a06e24b,True,False
47,True,0.045,1,600,0.045,expire-7770d3e3-2eec-46f5-8219-cc50884d29bb,True,False
48,True,0.049,1,600,0.049,expire-ed3d3bd6-f029-491a-92d3-3dfdc59073b7,True,False
49,True,0.044,1,600,0.044,expire-c785fbbf-a982-44ea-9c15-0a78dc35cb74,True,False
50,True,0.055,1,600,0.055,expire-a03c257c-c638-45e1-bf93-d1d9ed3600c1,True,False
51,True,0.046,1,600,0.046,expire-92751f82-316b-4e95-bbf8-2ad15f29f360,True,False
52,True,0.04,1,600,0.04,expire-7f61362e-8d6d-486f-bea6-58f73ef47680,True,False
53,True,0.052,1,600,0.052,expire-f9b9304e-a409-4a39-902a-368a42ff69c6,True,False
54,True,0.049,1,600,0.049,expire-8f82458a-f31f-462c-a2cb-fa681535527e,True,False
55,True,0.052,1,600,0.052,expire-ed03bb1c-28e8-4270-837a-7998226c0db7,True,False
56,True,0.049,1,600,0.049,expire-7eabd610-be30-4c1b-9f53-91d5a992d696,True,False
57,True,0.048,1,600,0.048,expire-e4007020-b579-4e0a-8cdb-7c29d7b780e9,True,False
58,True,0.051,1,600,0.051,expire-260fd616-5b53-4aa0-a4c5-1d7b39e81395,True,False
59,True,0.052,1,600,0.052,expire-08669a81-954c-4722-a8af-caa370c417ad,True,False
60,True,0.045,1,600,0.045,expire-d9fda803-311d-48a0-ba8a-bc1712ad6d54,True,False
61,True,0.057,1,600,0.057,expire-b161b547-91a9-4101-a371-bd8de82d90d8,True,False
62,True,0.048,1,600,0.048,expire-58d2f934-270c-4538-bef9-b3366f721a40,True,False
63,True,0.049,1,600,0.049,expire-48f01ca7-dafc-4092-8052-c05c7749b2f3,True,False
64,True,0.047,1,600,0.047,expire-b0ebc03d-9b80-43b0-bb86-848b25c328d0,True,False
65,True,0.062,1,600,0.062,expire-f293d7ac-cf0a-4540-9fc7-696fcfe3ecf5,True,False
66,True,0.045,1,600,0.045,expire-a2779a20-e2b4-446a-8152-322bea7e9533,True,False
67,True,0.042,1,600,0.042,expire-5367127e-326d-4080-9a52-13621b861d88,True,False
68,True,0.049,1,600,0.049,expire-4882deff-21e0-4f2d-9982-873414019b74,True,False
69,True,0.044,1,600,0.044,expire-a3dbb0cd-0a9c-4190-b809-5f090d597992,True,False
70,True,0.047,1,600,0.047,expire-b660997d-8699-45a7-ab2d-a08f59f5f8b5,True,False
